response_id,prompt_id,prompt,response,task_decomposition,sequencing_logic,actionability,cognitive_load,notes
R001,S3-P2,"I need to write Chapter 1 of a research paper on social media's effects on teenagers. The paper examines how social media use affects teenagers' mental health and academic performance. Chapter 1 consists of four sections: Background of the Study, Research Objectives, Scope and Limitations, and Significance of the Study. Break this chapter down into microtasks I can execute one at a time, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Draft the primary research questions and specific research objectives regarding social media's effects on teenagers' mental health and academic performance."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Gather 3-5 key academic sources and statistics on the relationship between teenage social media use and mental health."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Gather 3-5 key academic sources and statistics on the relationship between teenage social media use and academic performance."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Create a detailed outline for the Background of the Study section, structuring the flow from broad social media trends to specific mental health and academic impacts."",
      ""prerequisites"": [2, 3]
    },
    {
      ""id"": 5,
      ""description"": ""Write the introductory paragraphs of the Background of the Study, establishing the global context of teenage social media consumption."",
      ""prerequisites"": [4]
    },
    {
      ""id"": 6,
      ""description"": ""Write the subsection of the Background of the Study focusing on social media's impact on teenage mental health, integrating the gathered sources."",
      ""prerequisites"": [2, 4]
    },
    {
      ""id"": 7,
      ""description"": ""Write the subsection of the Background of the Study focusing on social media's impact on academic performance, integrating the gathered sources."",
      ""prerequisites"": [3, 4]
    },
    {
      ""id"": 8,
      ""description"": ""Write the concluding paragraphs of the Background of the Study, explicitly identifying the gap in literature that this study aims to fill."",
      ""prerequisites"": [5, 6, 7]
    },
    {
      ""id"": 9,
      ""description"": ""Refine and format the draft Research Objectives into a formal 'Research Objectives' section, distinguishing between the main objective and specific sub-objectives."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 10,
      ""description"": ""Define the parameters of the study's scope, including target age group, specific social media platforms, geographical location, and timeframe."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 11,
      ""description"": ""Identify potential limitations of the study, such as self-reporting biases, sample size constraints, or the correlational nature of the data."",
      ""prerequisites"": [10]
    },
    {
      ""id"": 12,
      ""description"": ""Draft the 'Scope and Limitations' section by combining the defined scope parameters and identified limitations into a cohesive narrative."",
      ""prerequisites"": [10, 11]
    },
    {
      ""id"": 13,
      ""description"": ""Identify the key stakeholders who will benefit from this research (e.g., teenagers, parents, educators, mental health professionals, policy makers)."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 14,
      ""description"": ""Draft the 'Significance of the Study' section, detailing the specific practical or theoretical contributions of the research for each identified stakeholder."",
      ""prerequisites"": [13]
    },
    {
      ""id"": 15,
      ""description"": ""Compile the four drafted sections (Background, Objectives, Scope and Limitations, Significance) into a single Chapter 1 document and add transitional sentences between sections."",
      ""prerequisites"": [8, 9, 12, 14]
    },
    {
      ""id"": 16,
      ""description"": ""Proofread Chapter 1 for academic tone, clarity, and adherence to the required citation style (e.g., APA, MLA)."",
      ""prerequisites"": [15]
    }
  ]
}",,,,,
R002,S3-P7,I have to write something about procrastination and self-regulation in college students for my research paper but I'm not sure what part to focus on yet. Help me figure out what to do next.,"{""microtasks"": [{""id"": 1, ""description"": ""Read and annotate 5-7 peer\u2011reviewed articles on procrastination and self\u2011regulation in college students."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Create a summary table of key findings, methodologies, and identified research gaps from the articles read."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Generate a list of 3\u20115 specific research questions that address the identified gaps."", ""prerequisites"": [2]}, {""id"": 4, ""description"": ""Assess the feasibility of each research question in terms of time, data availability, and required resources."", ""prerequisites"": [3]}, {""id"": 5, ""description"": ""Select one research question that best fits your interests and constraints as the focus of your paper."", ""prerequisites"": [4]}, {""id"": 6, ""description"": ""Write a concise research focus statement (1\u20112 sentences) that clearly states the chosen focus."", ""prerequisites"": [5]}]}",,,,,
R003,S3-P7,I have to write something about procrastination and self-regulation in college students for my research paper but I'm not sure what part to focus on yet. Help me figure out what to do next.,"{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Define 'procrastination' and 'self-regulation' in the context of academic research."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Conduct a broad literature search using keywords like 'procrastination college students,' 'self-regulation academic performance,' and 'student motivation challenges.'"",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Skim the abstracts and introductions of 10-15 relevant articles found in the initial search to get an overview of current research."",
      ""prerequisites"": [
        2
      ]
    },
    {
      ""id"": 4,
      ""description"": ""Identify common themes, theories, and methodologies used in the literature on procrastination and self-regulation in college students."",
      ""prerequisites"": [
        3
      ]
    },
    {
      ""id"": 5,
      ""description"": ""Note down any specific findings, debates, or unanswered questions that stand out from the initial literature review."",
      ""prerequisites"": [
        3
      ]
    },
    {
      ""id"": 6,
      ""description"": ""Brainstorm 3-5 potential specific research questions or angles for your paper based on the identified themes, gaps, or interesting findings."",
      ""prerequisites"": [
        4,
        5
      ]
    },
    {
      ""id"": 7,
      ""description"": ""Evaluate each brainstormed research question/angle for its feasibility, originality, and personal interest."",
      ""prerequisites"": [
        6
      ]
    },
    {
      ""id"": 8,
      ""description"": ""Select one primary research question or specific focus area for your paper."",
      ""prerequisites"": [
        7
      ]
    },
    {
      ""id"": 9,
      ""description"": ""Formulate a preliminary working thesis statement or a clear, focused research question based on your selected focus area."",
      ""prerequisites"": [
        8
      ]
    }
  ]
}",,,,,
R004,S3-P6,I need to write the related literature section of our research paper on the effects of social media use on teenagers. I do not know where to start. Create microtasks that would help me write this section of the paper.,"{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Clarify the specific research questions or objectives of your paper to guide the literature review."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Brainstorm a comprehensive list of keywords and search terms related to 'social media,' 'teenagers,' 'effects,' and specific sub-topics (e.g., mental health, academic performance, social development)."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 3,
      ""description"": ""Identify 3-5 relevant academic databases (e.g., PubMed, PsycINFO, Scopus, Web of Science, Google Scholar) for literature search."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Decide on a consistent method for taking notes (e.g., digital notes, summary table, reference manager annotations) for each article."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Perform initial searches in the selected databases using the brainstormed keywords."",
      ""prerequisites"": [
        2,
        3
      ]
    },
    {
      ""id"": 6,
      ""description"": ""Review titles and abstracts of initial search results to identify potentially relevant articles."",
      ""prerequisites"": [
        5
      ]
    },
    {
      ""id"": 7,
      ""description"": ""Download full-text PDFs of all articles deemed potentially relevant."",
      ""prerequisites"": [
        6
      ]
    },
    {
      ""id"": 8,
      ""description"": ""Skim the introduction, methods, results, and discussion sections of downloaded articles to confirm their direct relevance to your paper's focus. Discard irrelevant ones."",
      ""prerequisites"": [
        7
      ]
    },
    {
      ""id"": 9,
      ""description"": ""Read the first batch of 5-7 relevant articles thoroughly, taking detailed notes on main arguments, key findings, methodology, theoretical framework, and how each relates to your research questions, using your chosen note-taking system."",
      ""prerequisites"": [
        4,
        8
      ]
    },
    {
      ""id"": 10,
      ""description"": ""Read the next batch of 5-7 relevant articles thoroughly, taking detailed notes."",
      ""prerequisites"": [
        4,
        8,
        9
      ]
    },
    {
      ""id"": 11,
      ""description"": ""Read all remaining relevant articles thoroughly, taking detailed notes."",
      ""prerequisites"": [
        4,
        8,
        10
      ]
    },
    {
      ""id"": 12,
      ""description"": ""Review all notes to identify recurring themes, debates, theories, and gaps in the literature."",
      ""prerequisites"": [
        9,
        10,
        11
      ]
    },
    {
      ""id"": 13,
      ""description"": ""Create a detailed outline for the literature review section, organizing the identified themes into logical sub-sections."",
      ""prerequisites"": [
        12
      ]
    },
    {
      ""id"": 14,
      ""description"": ""Draft the introductory paragraph for the literature review section, stating its purpose and scope."",
      ""prerequisites"": [
        13
      ]
    },
    {
      ""id"": 15,
      ""description"": ""Draft the first sub-section of the literature review, synthesizing information from multiple sources related to that theme, ensuring proper in-text citations."",
      ""prerequisites"": [
        13
      ]
    },
    {
      ""id"": 16,
      ""description"": ""Draft the second sub-section of the literature review, synthesizing information from multiple sources related to that theme, ensuring proper in-text citations."",
      ""prerequisites"": [
        15
      ]
    },
    {
      ""id"": 17,
      ""description"": ""Draft all remaining sub-sections of the literature review, following the outline and synthesizing information from multiple sources."",
      ""prerequisites"": [
        16
      ]
    },
    {
      ""id"": 18,
      ""description"": ""Draft the concluding paragraph for the literature review, summarizing key findings from the literature and highlighting how it leads to or justifies your study."",
      ""prerequisites"": [
        17
      ]
    },
    {
      ""id"": 19,
      ""description"": ""Review the entire literature review draft for overall coherence, logical flow, and smooth transitions between paragraphs and sections."",
      ""prerequisites"": [
        18
      ]
    },
    {
      ""id"": 20,
      ""description"": ""Check that the literature review builds a clear argument or narrative that supports your paper's research questions/objectives."",
      ""prerequisites"": [
        19
      ]
    },
    {
      ""id"": 21,
      ""description"": ""Verify all in-text citations against the reference list and ensure adherence to the required citation style."",
      ""prerequisites"": [
        18
      ]
    },
    {
      ""id"": 22,
      ""description"": ""Proofread the entire literature review section for grammar, spelling, and punctuation errors."",
      ""prerequisites"": [
        20,
        21
      ]
    }
  ]
}",,,,,
R005,S3-P3,"I need to write the Significance of the Study section for a research paper on sleep deprivation and academic performance among undergraduate students. The section needs to address significance to the academic community, to university administrators, and to student health services. Give me the most granular breakdown of microtasks possible for writing this section.","{""microtasks"": [{""id"": 1, ""description"": ""Read and summarize key peer\u2011reviewed studies on the relationship between sleep deprivation and academic performance among undergraduate students."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Identify and document specific gaps or under\u2011explored areas in the existing literature on sleep deprivation and academic outcomes."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Synthesize how the current research base advances knowledge for the academic community (e.g., theoretical insights, methodological contributions)."", ""prerequisites"": [2]}, {""id"": 4, ""description"": ""Draft the significance paragraph addressing the academic community, integrating the synthesized contributions from step 3."", ""prerequisites"": [3]}, {""id"": 5, ""description"": ""Review university policy documents, student handbooks, and institutional data reports on student sleep patterns and related academic support."", ""prerequisites"": [1]}, {""id"": 6, ""description"": ""Identify practical implications of sleep deprivation for university administrators, including effects on retention, grading, and resource allocation."", ""prerequisites"": [5]}, {""id"": 7, ""description"": ""Draft the significance paragraph addressing university administrators, outlining the administrative implications identified in step 6."", ""prerequisites"": [6]}, {""id"": 8, ""description"": ""Examine existing student health services\u2019 programs, resources, and records related to sleep health and wellness."", ""prerequisites"": [1]}, {""id"": 9, ""description"": ""Identify gaps or unmet needs in student health services concerning sleep deprivation and its impact on student well\u2011being."", ""prerequisites"": [8]}, {""id"": 10, ""description"": ""Draft the significance paragraph addressing student health services, highlighting the identified gaps and needed improvements from step 9."", ""prerequisites"": [9]}, {""id"": 11, ""description"": ""Combine the three significance paragraphs (from steps 4, 7, and 10) into a single, cohesive Significance of the Study section."", ""prerequisites"": [4,7,10]}, {""id"": 12, ""description"": ""Edit and refine the combined Significance of the Study section for clarity, conciseness, and alignment with journal guidelines."", ""prerequisites"": [11]}, {""id"": 13, ""description"": ""Verify and format all citations used in the Significance of the Study section according to the target journal\u2019s citation style."", ""prerequisites"": [1,2,3,5,8,9]}, {""id"": 14, ""description"": ""Finalize the Significance of the Study section and insert it into the full manuscript at the appropriate location."", ""prerequisites"": [12,13]}]}",,,,,
R006,S3-P4,"I am tasked with writing the methodology section for a research paper on the effects of social media on teenagers, in which we will be surveying and interviewing undergraduate students within our college. Break this down into microtasks that are simple to understand and initiate, noting which microtasks depend on others and which can be worked on independently.","{""microtasks"": [{""id"": 1, ""description"": ""Define research objectives and research questions for the study on social media effects on teenagers."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Conduct a literature review focusing on existing research about social media impacts on teenagers."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Identify and select an appropriate survey methodology (e.g., cross\u2011sectional, online) for the study."", ""prerequisites"": [1]}, {""id"": 4, ""description"": ""Develop the survey questionnaire items based on the chosen methodology and research questions."", ""prerequisites"": [2, 3]}, {""id"": 5, ""description"": ""Draft the interview guide questions aligned with the research objectives and literature findings."", ""prerequisites"": [1, 2]}, {""id"": 6, ""description"": ""Submit and obtain IRB (Institutional Review Board) approval for the survey and interview instruments."", ""prerequisites"": [4, 5]}, {""id"": 7, ""description"": ""Determine sample size and define a sampling strategy (e.g., convenience sampling of undergraduate students)."", ""prerequisites"": [1, 6]}, {""id"": 8, ""description"": ""Create participant recruitment materials (flyer, email template) based on the sampling plan and IRB requirements."", ""prerequisites"": [7, 6]}, {""id"": 9, ""description"": ""Pilot test the survey questionnaire with a small group of undergraduate students."", ""prerequisites"": [4]}, {""id"": 10, ""description"": ""Pilot test the interview guide with a mock interview to refine questions."", ""prerequisites"": [5]}, {""id"": 11, ""description"": ""Distribute the survey to the recruited undergraduate participants."", ""prerequisites"": [8, 6]}, {""id"": 12, ""description"": ""Schedule and conduct the interviews with the recruited undergraduate participants."", ""prerequisites"": [8, 6]}, {""id"": 13, ""description"": ""Collect and organize raw data (survey responses and interview recordings)."", ""prerequisites"": [11, 12]}, {""id"": 14, ""description"": ""Clean and code the survey data for analysis."", ""prerequisites"": [13]}, {""id"": 15, ""description"": ""Transcribe the recorded interview sessions."", ""prerequisites"": [13]}, {""id"": 16, ""description"": ""Perform statistical analysis on the cleaned survey data."", ""prerequisites"": [14]}, {""id"": 17, ""description"": ""Conduct thematic analysis on the interview transcriptions."", ""prerequisites"": [15]}, {""id"": 18, ""description"": ""Integrate literature review, statistical results, and thematic findings to write the methodology section."", ""prerequisites"": [2, 16, 17]}, {""id"": 19, ""description"": ""Revise the methodology section based on reviewer or advisor feedback."", ""prerequisites"": [18]}]}",,,,,
R007,S3-P2,"I need to write Chapter 1 of a research paper on social media's effects on teenagers. The paper examines how social media use affects teenagers' mental health and academic performance. Chapter 1 consists of four sections: Background of the Study, Research Objectives, Scope and Limitations, and Significance of the Study. Break this chapter down into microtasks I can execute one at a time, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Define the specific research questions regarding social media's effects on teenage mental health and academic performance."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Gather and summarize 3-5 key statistics and sources on general teenage social media usage rates."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Gather and summarize 3-5 key studies on the relationship between social media and teenage mental health."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Gather and summarize 3-5 key studies on the relationship between social media and teenage academic performance."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Draft the 'Background of the Study' section by synthesizing the gathered literature and establishing the research gap."",
      ""prerequisites"": [2, 3, 4]
    },
    {
      ""id"": 6,
      ""description"": ""Draft the 'Research Objectives' section, outlining the primary and secondary goals of the study based on the research questions."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 7,
      ""description"": ""Define the scope of the study, including the target demographic, specific social media platforms, and geographical boundaries."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 8,
      ""description"": ""Identify the potential limitations of the study, such as self-reporting bias, sample size, or time constraints."",
      ""prerequisites"": [7]
    },
    {
      ""id"": 9,
      ""description"": ""Draft the 'Scope and Limitations' section using the defined scope and identified limitations."",
      ""prerequisites"": [7, 8]
    },
    {
      ""id"": 10,
      ""description"": ""Identify the key stakeholders (e.g., parents, educators, policymakers, mental health professionals) who will benefit from this research."",
      ""prerequisites"": []
    },
    {
      ""id"": 11,
      ""description"": ""Draft the 'Significance of the Study' section, detailing the specific contributions of the research to each stakeholder group."",
      ""prerequisites"": [10]
    },
    {
      ""id"": 12,
      ""description"": ""Compile the four drafted sections (Background, Objectives, Scope/Limitations, Significance) into a single Chapter 1 document."",
      ""prerequisites"": [5, 6, 9, 11]
    },
    {
      ""id"": 13,
      ""description"": ""Review, edit, and proofread Chapter 1 for academic tone, logical flow, and consistent formatting."",
      ""prerequisites"": [12]
    }
  ]
}",,,,,
R008,S3-P4,"I am tasked with writing the methodology section for a research paper on the effects of social media on teenagers, in which we will be surveying and interviewing undergraduate students within our college. Break this down into microtasks that are simple to understand and initiate, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Outline the main sections and sub-sections required for a methodology chapter (e.g., Research Design, Participants, Data Collection, Data Analysis, Ethical Considerations)."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Define the overall research design as mixed-methods (combining quantitative surveys and qualitative interviews)."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Justify the choice of a mixed-methods design for studying the effects of social media on teenagers."",
      ""prerequisites"": [
        2
      ]
    },
    {
      ""id"": 4,
      ""description"": ""Identify the target population for the study (undergraduate students within your college)."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Determine the specific sampling strategy for the survey component (e.g., convenience, random, stratified sampling)."",
      ""prerequisites"": [
        4
      ]
    },
    {
      ""id"": 6,
      ""description"": ""Determine the specific sampling strategy for the interview component (e.g., purposive, convenience sampling)."",
      ""prerequisites"": [
        4
      ]
    },
    {
      ""id"": 7,
      ""description"": ""Specify clear inclusion and exclusion criteria for participants in both the survey and interview components."",
      ""prerequisites"": [
        4
      ]
    },
    {
      ""id"": 8,
      ""description"": ""Estimate the target sample size for the survey component, providing a rationale."",
      ""prerequisites"": [
        5
      ]
    },
    {
      ""id"": 9,
      ""description"": ""Estimate the target number of participants for the interview component, providing a rationale (e.g., aiming for saturation)."",
      ""prerequisites"": [
        6
      ]
    },
    {
      ""id"": 10,
      ""description"": ""Draft the content of the survey questionnaire, including question types (e.g., Likert scales, multiple choice, open-ended)."",
      ""prerequisites"": []
    },
    {
      ""id"": 11,
      ""description"": ""Draft the interview protocol, including a list of open-ended questions and potential probes."",
      ""prerequisites"": []
    },
    {
      ""id"": 12,
      ""description"": ""Describe the detailed procedure for administering and collecting the surveys (e.g., online platform, in-person distribution, duration)."",
      ""prerequisites"": [
        5,
        10
      ]
    },
    {
      ""id"": 13,
      ""description"": ""Describe the detailed procedure for conducting the interviews (e.g., location, recording method, estimated duration, interviewer training)."",
      ""prerequisites"": [
        6,
        11
      ]
    },
    {
      ""id"": 14,
      ""description"": ""Outline the plan for data management, including how collected data will be stored, organized, and backed up."",
      ""prerequisites"": []
    },
    {
      ""id"": 15,
      ""description"": ""Specify the quantitative data analysis methods to be used for the survey data (e.g., descriptive statistics, inferential tests like t-tests, ANOVA, correlation)."",
      ""prerequisites"": [
        10
      ]
    },
    {
      ""id"": 16,
      ""description"": ""Specify the qualitative data analysis methods to be used for the interview data (e.g., thematic analysis, content analysis, coding procedures)."",
      ""prerequisites"": [
        11
      ]
    },
    {
      ""id"": 17,
      ""description"": ""Identify the specific software or tools that will be used for quantitative data analysis (e.g., SPSS, R, Excel)."",
      ""prerequisites"": [
        15
      ]
    },
    {
      ""id"": 18,
      ""description"": ""Identify the specific software or tools that will be used for qualitative data analysis (e.g., NVivo, ATLAS.ti, manual coding)."",
      ""prerequisites"": [
        16
      ]
    },
    {
      ""id"": 19,
      ""description"": ""Address the requirement for Institutional Review Board (IRB) approval for research involving human subjects."",
      ""prerequisites"": []
    },
    {
      ""id"": 20,
      ""description"": ""Detail the informed consent process, including what information will be provided to participants and how consent will be obtained."",
      ""prerequisites"": [
        19
      ]
    },
    {
      ""id"": 21,
      ""description"": ""Explain measures taken to ensure participant anonymity and data confidentiality."",
      ""prerequisites"": [
        19
      ]
    },
    {
      ""id"": 22,
      ""description"": ""Write the introductory paragraph for the methodology section, providing an overview of the research approach."",
      ""prerequisites"": [
        1,
        2
      ]
    },
    {
      ""id"": 23,
      ""description"": ""Draft the 'Research Design' sub-section, incorporating the definition and justification of the mixed-methods approach."",
      ""prerequisites"": [
        3
      ]
    },
    {
      ""id"": 24,
      ""description"": ""Draft the 'Participants' sub-section, detailing the target population, sampling strategies, inclusion/exclusion criteria, and estimated sample sizes."",
      ""prerequisites"": [
        7,
        8,
        9
      ]
    },
    {
      ""id"": 25,
      ""description"": ""Draft the 'Data Collection Instruments' sub-section, describing the survey questionnaire and interview protocol."",
      ""prerequisites"": [
        10,
        11
      ]
    },
    {
      ""id"": 26,
      ""description"": ""Draft the 'Data Collection Procedures' sub-section, explaining the administration of surveys, conduct of interviews, and data management plan."",
      ""prerequisites"": [
        12,
        13,
        14
      ]
    },
    {
      ""id"": 27,
      ""description"": ""Draft the 'Data Analysis' sub-section, outlining both quantitative and qualitative analysis methods and the software/tools used."",
      ""prerequisites"": [
        17,
        18
      ]
    },
    {
      ""id"": 28,
      ""description"": ""Draft the 'Ethical Considerations' sub-section, covering IRB approval, informed consent, anonymity, and confidentiality."",
      ""prerequisites"": [
        20,
        21
      ]
    },
    {
      ""id"": 29,
      ""description"": ""Review and refine the entire methodology section for clarity, coherence, logical flow, and completeness."",
      ""prerequisites"": [
        22,
        23,
        24,
        25,
        26,
        27,
        28
      ]
    },
    {
      ""id"": 30,
      ""description"": ""Format the methodology section according to the specific guidelines of the research paper (e.g., APA, MLA, Chicago)."",
      ""prerequisites"": [
        29
      ]
    }
  ]
}",,,,,
R009,S3-P7,I have to write something about procrastination and self-regulation in college students for my research paper but I'm not sure what part to focus on yet. Help me figure out what to do next.,"{""microtasks"": [{""id"": 1, ""description"": ""Conduct a preliminary literature search on procrastination and self-regulation in college students, using academic databases and keywords."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Summarize the key findings from the literature search and identify gaps or under\u2011researched areas."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Draft a list of possible research questions that address the identified gaps."", ""prerequisites"": [2]}, {""id"": 4, ""description"": ""Evaluate the feasibility of each research question in terms of scope, data availability, and alignment with course requirements."", ""prerequisites"": [3]}, {""id"": 5, ""description"": ""Select a specific focus area or research question to center the paper on."", ""prerequisites"": [4]}, {""id"": 6, ""description"": ""Create an outline for the research paper that aligns with the chosen focus area."", ""prerequisites"": [5]}]}",,,,,
R010,S3-P5,I am writing the scope and limitations section for our research paper on peer pressure and risk-taking behavior among adolescents. We will only have high school students from our partner schools as participants. Another limitation is that we are not measuring long-term behavioral outcomes beyond the school year. Create microtasks that I can accomplish procedurally to complete this section of the paper.,"{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Define the demographic parameters (e.g., age range, grade levels) of the adolescent participants."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Define the institutional boundaries (the specific partner schools) included in the study."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Define the specific variables (peer pressure and risk-taking behavior) to be measured."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Write the Scope paragraph by synthesizing the demographic, institutional, and variable definitions."",
      ""prerequisites"": [1, 2, 3]
    },
    {
      ""id"": 5,
      ""description"": ""Draft a statement regarding the sampling limitation caused by the focus on partner schools."",
      ""prerequisites"": [2]
    },
    {
      ""id"": 6,
      ""description"": ""Draft a statement regarding the temporal limitation caused by the lack of long-term behavioral data."",
      ""prerequisites"": []
    },
    {
      ""id"": 7,
      ""description"": ""Write the Limitations paragraph by synthesizing the sampling and temporal statements."",
      ""prerequisites"": [5, 6]
    },
    {
      ""id"": 8,
      ""description"": ""Review the combined Scope and Limitations section for academic tone and logical flow."",
      ""prerequisites"": [4, 7]
    }
  ]
}",,,,,
